proxy_type,mean_delta,median_delta,std_delta,ci_lower_95,ci_upper_95,min_delta,max_delta,cases,negative_cases,positive_cases
age,0.0006480249999999889,0.0,0.0016345899473122298,0.0004273032499999871,0.000876240874999988,-0.003547,0.007109,200,29,61
city,-0.000245835000000003,-0.00015399999999995002,0.001695510713819959,-0.00048582737499999724,-1.3154125000007888e-05,-0.006884,0.0045609999999999,200,109,91
college,-0.0004092249999999975,-0.00011399999999995,0.0023341373546401454,-0.0007458777499999924,-8.544412500000022e-05,-0.009921,0.0053619999999999,200,111,89
college+city,-0.0005001100000000024,-0.000285,0.002531059129988344,-0.0008590771250000023,-0.00015549850000000912,-0.010394,0.006637,200,112,88
college+experience,0.001295364999999996,-4.399999999998849e-05,0.008584745340695771,0.00020187712499999947,0.002553178749999996,-0.00764,0.073647,200,103,97
college+name,-0.0013398749999999843,-0.0007579999999999,0.0032501092118294842,-0.0017915617499999804,-0.0008934368749999849,-0.011268,0.006302,200,132,68
course,-0.03549277070063693,-0.0598589999999999,0.044167030127320026,-0.042373920700636926,-0.028483103343949046,-0.103664,0.0887549999999999,157,115,35
course+experience,-0.0336488662420382,-0.041317,0.04349156002326925,-0.04042392101910826,-0.026716120382165594,-0.103333,0.0887549999999999,157,117,37
degree,-0.033217118343195254,-0.06,0.044922924130407896,-0.03980751139053252,-0.026445522781065083,-0.08897,0.0985139999999999,169,107,48
degree+age,-0.033145023668639036,-0.06,0.04499540359858364,-0.03993676997041419,-0.026085852958579885,-0.08897,0.099489,169,107,48
degree+course,-0.06829642857142855,-0.0705915,0.06819142678560812,-0.0789841352272727,-0.05786819415584415,-0.177531,0.177256,154,124,30
experience,0.0021756199999999858,0.0,0.00834495755221928,0.0011446548749999845,0.0034906406249999846,-0.00239,0.073736,200,31,79
name,-0.000596819999999994,-0.000304,0.00285394080671639,-0.0009959852499999882,-0.00020864362499999593,-0.010877,0.009672,200,117,83
name+age,-0.00045742499999999536,-0.00023099999999995,0.002987702787108396,-0.0008662552499999946,-4.871337500000439e-05,-0.012041,0.009782,200,114,86
name+city,-0.0007479199999999948,-0.0004075,0.0029618123888479958,-0.0011576873749999897,-0.0003488255000000017,-0.010618,0.0080739999999999,200,115,85
